x,y,z,yaw,velocity,lookahead
0.0,0.0,0.0,0.0,10.0,3
0.5,0.0,0.0,0.0,10.0,3
1.0,0.0,0.0,0.0,10.0,3
1.5,0.0,0.0,0.0,10.0,3
2.0,0.0,0.0,0.0,10.0,3
2.5,0.31286893008046174,0.0,0.5591297354653083,10.0,3
3.0,0.6180339887498948,0.0,0.5535743588970452,10.0,3
3.5,0.9079809994790936,0.0,0.5443225731617454,10.0,3
4.0,1.1755705045849463,0.0,0.5313896516603535,10.0,3
4.5,1.414213562373095,0.0,0.5148059551198108,10.0,3
5.0,1.618033988749895,0.0,0.4946257405275964,10.0,3
5.5,1.7820130483767358,0.0,0.47093807441560803,10.0,3
6.0,1.902113032590307,0.0,0.44387925940723716,10.0,3
6.5,1.9753766811902755,0.0,0.4136457877993969,10.0,3
7.0,2.0,0.0,0.3805063771123649,10.0,3
7.5,1.9753766811902753,0.0,0.3448112210555813,10.0,3
8.0,1.902113032590307,0.0,0.30699636257794677,10.0,3
8.5,1.7820130483767358,0.0,0.2675812454650869,10.0,3
9.0,1.618033988749895,0.0,0.22715816342547557,10.0,3
9.5,1.4142135623730951,0.0,0.1863734992965991,10.0,3
10.0,1.1755705045849465,0.0,0.1459021271495547,10.0,3
10.5,0.9079809994790929,0.0,0.10641774826216521,10.0,3
11.0,0.618033988749895,0.0,0.06856280611462078,10.0,3
11.5,0.31286893008046196,0.0,0.032921672525054096,10.0,3
12.0,2.4492935982947064e-16,0.0,2.4492935982947065e-17,10.0,3
12.5,-0.31286893008046146,0.0,-0.029788227085030865,10.0,3
13.0,-0.6180339887498955,0.0,-0.0561258993380133,10.0,3
13.5,-0.9079809994790942,0.0,-0.07879141562120946,10.0,3
14.0,-1.1755705045849467,0.0,-0.0976526139269412,10.0,3
14.5,-1.414213562373095,0.0,-0.11265804047541204,10.0,3
15.0,-1.6180339887498947,0.0,-0.12382735657884415,10.0,3
15.5,-1.7820130483767356,0.0,-0.131242210503432,10.0,3
16.0,-1.902113032590307,0.0,-0.135038360562803,10.0,3
16.5,-1.9753766811902758,0.0,-0.13539933707232607,10.0,3
17.0,-2.0,0.0,-0.13255153229667402,10.0,3
17.5,-1.9753766811902755,0.0,-0.12676032861386294,10.0,3
18.0,-1.9021130325903073,0.0,-0.11832671498276354,10.0,3
18.5,-1.7820130483767358,0.0,-0.10758379208594003,10.0,3
19.0,-1.618033988749894,0.0,-0.09489261665652096,10.0,3
19.5,-1.4142135623730954,0.0,-0.0806369719531944,10.0,3
20.0,-1.1755705045849467,0.0,-0.06521685396757683,10.0,3
20.5,-0.9079809994790939,0.0,-0.04904070202888922,10.0,3
21.0,-0.6180339887498953,0.0,-0.032516639529202876,10.0,3
21.5,-0.31286893008046046,0.0,-0.016043183956934028,10.0,3
